16:44:25.039244 config: drop-rate=0.2, max-delay=10s, seed=1 router is listening at :3000
20:51:46.372654 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.373654 [queue=1] packet #97, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 5.2ms
20:51:46.378654 [queue=2] packet #98, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 7.4ms
20:51:46.379654 [queue=1] packet #97, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.379654 [queue=2] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 2.4ms
20:51:46.382654 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.383655 [queue=2] packet #99, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 3.6ms
20:51:46.386655 [queue=1] packet #98, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.386655 [queue=2] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 6.6ms
20:51:46.387655 [queue=1] packet #99, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.387655 [queue=2] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 5.4ms
20:51:46.393655 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.393655 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.694672 [queue=0] packet #90, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:46.699673 [queue=0] packet #91, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:46.704673 [queue=1] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 600µs
20:51:46.705673 [queue=0] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.705673 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 6.3ms
20:51:46.709673 [queue=2] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 2.1ms
20:51:46.712673 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.712673 [queue=0] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.712673 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 4.3ms
20:51:46.714673 [queue=2] packet #94, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 3.1ms
20:51:46.718674 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.718674 [queue=0] packet #94, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.719674 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 1.5ms
20:51:46.721674 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.860682 [queue=1] packet #95, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 7ms
20:51:46.861682 [queue=2] packet #96, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 8.5ms
20:51:46.861682 [queue=3] packet #97, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 8.9ms
20:51:46.861682 [queue=3] packet #98, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:46.861682 [queue=3] packet #99, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:46.868682 [queue=2] packet #95, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.868682 [queue=3] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 8.9ms
20:51:46.870682 [queue=1] packet #97, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.870682 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is dropped
20:51:46.870682 [queue=1] packet #96, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:46.870682 [queue=2] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 3.2ms
20:51:46.874683 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:46.877683 [queue=0] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.179700 [queue=1] packet #90, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 5.4ms
20:51:47.184700 [queue=2] packet #91, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 9.7ms
20:51:47.186700 [queue=1] packet #90, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.186700 [queue=2] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 5.4ms
20:51:47.189701 [queue=3] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 2.9ms
20:51:47.192701 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.193701 [queue=2] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 4.3ms
20:51:47.193701 [queue=2] packet #92, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.194701 [queue=1] packet #91, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.194701 [queue=2] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 4ms
20:51:47.195701 [queue=3] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 5.9ms
20:51:47.199701 [queue=1] packet #94, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is dropped
20:51:47.199701 [queue=1] packet #90, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.199701 [queue=1] packet #93, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.199701 [queue=1] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is dropped
20:51:47.202701 [queue=0] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delivered
20:51:47.204701 [queue=1] packet #95, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 4.1ms
20:51:47.209702 [queue=0] packet #95, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delivered
20:51:47.209702 [queue=1] packet #96, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 9.5ms
20:51:47.209702 [queue=2] packet #91, 127.0.0.1:63268 -> 127.0.0.1:9007, sz=4 is delayed for 9.8ms
20:51:47.214702 [queue=3] packet #97, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 8.1ms
20:51:47.219702 [queue=3] packet #98, 127.0.0.1:63269 -> 127.0.0.1:9000, sz=989 is delayed for 100µs
